"r.day" "month" "day" "pow.obs" "ws30" "wd30"
282 10 9 0.710205479452054 16.1287671232878 5.5869087858577
283 10 10 0.601057534246576 20.612328767122 4.7384128248261
284 10 11 0.739569863013698 19.3184931506841 5.28385415419445
285 10 12 0.201446575342466 11.4856164383557 5.98020020111591
286 10 13 0.135542465753425 10.6082191780824 0.134867099738871
287 10 14 0.139972602739726 8.22876712328815 0.822715798778082
288 10 15 0.0203424657534246 8.23013698630137 0.423840338060404
289 10 16 0.0064986301369863 8.13698630136992 0.526205435435527
290 10 17 0.00296712328767124 3.28219178082201 9.45643797727172e-05
291 10 18 0.108408219178082 7.24041095890438 5.28215215877462
292 10 19 0.242512328767124 5.10136986301454 6.17145162223047
293 10 20 0.618942465753424 10.4671232876714 0.961050203683029
294 10 21 0.736967123287672 13.9979452054808 1.52472410430201
295 10 22 0.630728767123288 9.08835616438386 1.33861263352657
296 10 23 0.140523287671233 7.03219178082171 0.368093621334471
297 10 24 0.129668493150685 1.9020547945207 4.93848884531924
298 10 25 0.328830136986302 12.6335616438356 5.52676055119198
299 10 26 0.1574 9.32328767123359 0.315217506536799
300 10 27 0.373928767123288 11.2801369863032 5.24110877413502
301 10 28 0.510304109589042 12.6239726027386 4.76140430084741
302 10 29 0.512912328767124 11.1547945205486 3.67502374638297
303 10 30 0.089904109589041 5.71438356164291 3.00809336198757
304 10 31 0.156361643835616 6.10273972602734 3.08773697754497
